"Drug","Groups","Indication"
"N-Acetyl-D-glucosamine","approved/nutraceutical","For the treatment and prevention of osteoarthritis, by itself or in combination with chondroitin sulfate."
"L-Glutamic Acid","nutraceutical","Considered to be nature's \"Brain food\" by improving mental capacities; helps speed the healing of ulcers; gives a \"lift\" from fatigue; helps control alcoholism, schizophrenia and the craving for sugar."
"Glutathione","approved/nutraceutical","For nutritional supplementation, also for treating dietary shortage or imbalance"
"Phosphatidylserine","approved/nutraceutical","Phosphatidylserine has demonstrated some usefulness in treating cognitive impairment, including Alzheimer's disease, age-associated memory impairment and some non-Alzheimer's dementias. More research is needed before phosphatidylserine can be indicated for immune enhancement or for reduction of exercise stress."
"Glycine","approved/nutraceutical","Supplemental glycine may have antispastic activity. Very early findings suggest it may also have antipsychotic activity as well as antioxidant and anti-inflammatory activities."
"Calcidiol","approved/nutraceutical","Used to treat vitamin D deficiency or insufficiency, refractory rickets (vitamin D resistant rickets), familial hypophosphatemia and hypoparathyroidism, and in the management of hypocalcemia and renal osteodystrophy in patients with chronic renal failure undergoing dialysis. Also used in conjunction with calcium in the management and prevention of primary or corticosteroid-induced osteoporosis."
"Pyridoxal","approved/nutraceutical","Pyridoxal is one of the natural forms available of vitamin B6, therefore, it is used for nutritional supplementation and for treating dietary shortage or imbalances."
"Creatine","approved/nutraceutical","For nutritional supplementation, also for treating dietary shortage or imbalance"
"L-Leucine","approved/nutraceutical","Indicated to assist in the prevention of the breakdown of muscle proteins that sometimes occur after trauma or severe stress."
"L-Tryptophan","approved/nutraceutical","Tryptophan may be useful in increasing serotonin production, promoting healthy sleep, managing depression by enhancing mental and emotional well-being, managing pain tolerance, and managing weight."
"L-Cysteine","approved/nutraceutical","For the prevention of liver damage and kidney damage associated with overdoses of acetaminophen"
"Thiamine","approved/nutraceutical","For the treatment of thiamine and niacin deficiency states, Korsakov's alcoholic psychosis, Wernicke-Korsakov syndrome, delirium, and peripheral neuritis."
"Ergocalciferol","approved/nutraceutical","For use in the management of hypocalcemia and its clinical manifestations in patients with hypoparathyroidism, as well as for the treatment of familial hypophosphatemia (vitamin D resistant rickets). This drug has also been used in the treatment of nutritional rickets or osteomalacia, vitamin D dependent rickets, rickets or osteomalacia secondary to long-term high dose anticonvulsant therapy, early renal osteodystrophy, osteoporosis (in conjunction with calcium), and hypophosphatemia associated with Fanconi syndrome (with treatment of acidosis)."
"L-Citrulline","approved/nutraceutical","Used for nutritional supplementation, also for treating dietary shortage or imbalance."
"L-Threonine","approved/nutraceutical","L-Threonine makes up collagen, elastin, and enamel protein. It aids proper fat metabolism in the liver, helps the digestive and intestinal tracts function more smoothly, and assists in metabolism and assimilation."
"NADH","nutraceutical","Some evidence suggests that NADH might be useful in treating Parkinson's disease, chronic fatigue syndrome, Alzheimer's disease and cardiovascular disease."
"Folic Acid","approved/nutraceutical","For treatment of folic acid deficiency, megaloblastic anemia and in anemias of nutritional supplements, pregnancy, infancy, or childhood."
"Icosapent","approved/nutraceutical","EPA can be used for lowering elevated triglycerides in those who are hyperglyceridemic. In addition, EPA may play a therapeutic role in patients with cystic fibrosis by reducing disease severity and may play a similar role in type 2 diabetics in slowing the progression of diabetic nephropathy."
"L-Alanine","approved/nutraceutical","Used for protein synthesis."
"L-Valine","approved/nutraceutical","Promotes mental vigor, muscle coordination, and calm emotions. May also be of use in a minority of patients with hepatic encephalopathy and in some with phenylketonuria."
"Vitamin A","approved/nutraceutical","For the treatment of vitamin A deficiency."
"Vitamin E","approved/nutraceutical","Vitamin E, known for its antioxidant activities, is protective against cardiovascular disease and some forms of cancer and has also demonstrated immune-enhancing effects. It may be of limited benefit in some with asthma and rheumatoid arthritis. It may be helpful in some neurological diseases including Alzheimer's, some eye disorders including cataracts, and diabetes and premenstrual syndrome. It may also help protect skin from ultraviolet irradiation although claims that it reverses skin aging, enhances male fertility and exercise performance are poorly supported. It may help relieve some muscle cramps."
"Pyridoxine","approved/nutraceutical","For the treatment of vitamin B6 deficiency and for the prophylaxis of isoniazid-induced peripheral neuropathy."
"Lipoic Acid","approved/nutraceutical","For nutritional supplementation, also for treating dietary shortage or imbalance."
"L-Isoleucine","approved/nutraceutical","The branched-chain amino acids may have antihepatic encephalopathy activity in some. They may also have anticatabolic and antitardive dyskinesia activity."
"Aspartame","approved/nutraceutical","Used as a diet supplement and sugar substitute."
"Cholecalciferol","approved/nutraceutical","For the treatment of vitamin D deficiency or insufficiency, refractory rickets (vitamin D resistant rickets), familial hypophosphatemia and hypoparathyroidism, and in the management of hypocalcemia and renal osteodystrophy in patients with chronic renal failure undergoing dialysis. Also used in conjunction with calcium in the management and prevention of primary or corticosteroid-induced osteoporosis."
"Menadione","approved/nutraceutical","The primary known function of vitamin K is to assist in the normal clotting of blood, but it may also play a role in normal bone calcification."
"Adenosine triphosphate","approved/nutraceutical","For nutritional supplementation, also for treating dietary shortage or imbalance"
"L-Proline","approved/nutraceutical","L-Proline is extremely important for the proper functioning of joints and tendons and also helps maintain and strengthen heart muscles."
"Adenine","approved/nutraceutical","For nutritional supplementation, also for treating dietary shortage or imbalance"
"L-Asparagine","approved/nutraceutical","Used for nutritional supplementation, also for treating dietary shortage or imbalance."
"Pravastatin","approved","For the treatment of hypercholesterolemia and to reduce the risk of cardiovascular disease. "
"Fluvoxamine","approved/investigational","For management of depression and for Obsessive Compulsive Disorder (OCD). Has also been used in the management of bulimia nervosa."
"Valsartan","approved/investigational","May be used as a first line agent to treat uncomplicated hypertension, isolated systolic hypertension and left ventricular hypertrophy. May be used as a first line agent to delay progression of diabetic nephropathy. Losartan may be also used as a second line agent in the treatment of congestive heart failure, systolic dysfunction, myocardial infarction and coronary artery disease in those intolerant of ACE inhibitors."
"Ramipril","approved","For the management of mild to severe hypertension. May be used to reduce cardiovascular mortality following myocardial infarction in hemodynamically stable individuals who develop clinical signs of congestive heart failure within a few days following myocardial infarction. To reduce the rate of death, myocardial infarction and stroke in individuals at high risk of cardiovascular events. May be used to slow the progression of renal disease in individuals with hypertension, diabetes mellitus and microalubinuria or overt nephropathy.   "
"Masoprocol","approved","Used for the treatment of actinic keratoses (precancerous skin growths that can become malignant if left untreated)."
"Flunisolide","approved/investigational","For the maintenance treatment of asthma as a prophylactic therapy."
"Baclofen","approved","For the alleviation of signs and symptoms of spasticity resulting from multiple sclerosis, particularly for the relief of flexor spasms and concomitant pain, clonus, and muscular rigidity."
"Amphetamine","approved/illicit","For treatment of Attention Deficit Disorder with Hyperactivity (ADDH) and narcolepsy in children."
"Pentagastrin","approved","Used as a diagnostic aid for evaluation of gastric acid secretory function"
"Nicotine","approved","For the relief of nicotine withdrawal symptoms and as an aid to smoking cessation."
"Cevimeline","approved","For the treatment of symptoms of dry mouth in patients with Sj&ouml;gren's Syndrome."
"Lorazepam","approved","For the management of anxiety disorders, and for treatment of status epilepticus."
"Esmolol","approved","For the rapid control of ventricular rate in patients with atrial fibrillation or atrial flutter in perioperative, postoperative, or other emergent circumstances where short term control of ventricular rate with a short-acting agent is desirable. Also used in noncompensatory sinus tachycardia where the rapid heart rate requires specific intervention."
"Bortezomib","approved/investigational","For treatment of multiple myeloma in patients who have not been successfully treated with at least two previous therapies."
"Ethchlorvynol","approved/illicit/withdrawn","Used for short-term hypnotic therapy in the management of insomnia for periods of up to one week in duration; however, this medication generally has been replaced by other sedative-hypnotic agents."
"Carbidopa","approved","For treatment of the symptoms of idiopathic Parkinson's disease (paralysis agitans), post-encephalitic parkinsonism"
"Phentermine","approved/illicit","For the treatment and management of obesity."
"Indecainide","approved","For the treatment of life-threatening dysrhythmias and sustained ventricular tachycardia."
"Tramadol","approved/investigational","Indicated in the treatment of moderate to severe pain. Consider for those prone to constipation or respiratory depression. Tramadol is used to treat postoperative, dental, cancer, and acute musculosketetal pain and as an adjuvant to NSAID therapy in patients with osteoarthritis."
"Vidarabine","approved","For treatment of chickenpox - varicella, herpes zoster and herpes simplex"
"Betaxolol","approved","For the management of hypertension."
"Fluconazole","approved","For the treatment of fungal infections."
"Troglitazone","withdrawn","For the treatment of Type II diabetes mellitus. It is used alone or in combination with a sulfonylurea, metformin, or insulin as an adjunct to diet and exercise."
"Oseltamivir","approved","Oseltamivir (Tamiflu) is for the treatment of uncomplicated acute illness due to influenza infection in patients 1 year and older who have been symptomatic for no more than 2 days. It is also used for the prophylaxis of influenza in adult patients and adolescents 13 years and older."
"Erythromycin","approved","For use in the treatment of infections caused by susceptible strains of microorganisms in the following diseases: respiratory tract infections (upper and lower) of mild to moderate degree, pertussis (whooping cough), as adjunct to antitoxin in infections due to <i>Corynebacterium diphtheriae</i>, in the treatment of infections due to <i>Corynebacterium minutissimum</i>, intestinal amebiasis caused by <i>Entamoeba histolytica</i>, acute pelvic inflammatory disease caused by <i>Neisseria gonorrhoeae</i>, skin and soft tissue infections of mild to moderate severity caused by <i>Streptococcus pyogenes</i> and <i>Staphylococcus aureus</i>, primary syphilis caused by <i>Treponema pallidum</i>, infections caused by <i>Chlamydia trachomatis</i>, nongonococcal urethritis caused by <i>Ureaplasma urealyticum</i>, and Legionnaires' disease caused by <i>Legionella pneumophila</i>."
"Hydroxocobalamin","approved","For treatment of pernicious anemia and the prevention and treatment of vitamin B12 deficiency arising from alcoholism, malabsorption, tapeworm infestation, celiac, hyperthyroidism, hepatic-biliary tract disease, persistent diarrhea, ileal resection, pancreatic cancer, renal disease, prolonged stress, vegan diets, macrobiotic diets or other restrictive diets. Also for the treatment of known or suspected cyanide poisoning."
"Caffeine","approved","For management of fatigue, orthostatic hypotension, and for the short term treatment of apnea of prematurity in infants."
"Succinylcholine","approved","Used in surgical procedures where a rapid onset and brief duration of muscle relaxation is needed (includes intubation, endoscopies, and ECT)"
"Sildenafil","approved/investigational","For the treatment of erectile dysfunction and to relieve symptoms of pulmonary arterial hypertension (PAH). "
"Dofetilide","approved","For the maintenance of normal sinus rhythm (delay in time to recurrence of atrial fibrillation/atrial flutter [AF/AFl]) in patients with atrial fibrillation/atrial flutter of greater than one week duration who have been converted to normal sinus rhythm"
"Pyrimethamine","approved","For the treatment of toxoplasmosis and acute malaria; For the prevention of malaria in areas non-resistant to pyrimethamine"
"Reserpine","approved","Foe the treatment of hypertension"
"Azithromycin","approved","For the treatment of patients with mild to moderate infections caused by susceptible strains of the designated microorganisms in the specific conditions: <i>H. influenzae</i>, <i>M. catarrhalis</i>, <i>S. pneumoniae</i>, <i>C. pneumoniae</i>, <i>M. pneumoniae</i>, <i>S. pyogenes</i>, <i>S. aureus</i>, <i>S. agal</i>"
"Ticlopidine","approved","Used in patients, who have had a stroke or stroke precursors and who cannot take aspirin or aspirin has not worked, to try to prevent another thrombotic stroke.
"
"Trospium","approved","For the treatment of overactive bladder with symptoms of urge urinary incontinence, urgency, and urinary frequency, detrusor instability and frequency of micturition."
"Adapalene","approved","For the topical treatment of comedo, papular and pustular acne (acne vulgaris) of the face, chest or back."
"Midodrine","approved","For the treatment of symptomatic orthostatic hypotension (OH)."
"Remikiren","approved","For the treatment of hypertension and heart failure"
"Pantoprazole","approved","Short-term (up to 16 weeks) treatment of erosive esophagitis."
"Torasemide","approved","For the treatment of edema associated with congestive heart failure, renal disease, or hepatic disease. Also for the treatment of hypertension alone or in combination with other antihypertensive agents."
"Citalopram","approved","For the treatment of depression. Unlabeled indications include: treatment of mild dementia-associated agitation in nonpsychotic patients, smoking cessation, ethanol abuse, obsessive-compulsive disorder (OCD) in children, and diabetic neuropathy. "
"Eletriptan","approved/investigational","For the acute treatment of migraine with or without aura in adults."
"Bethanidine","approved","For the treatment of hypertension."
"Moxifloxacin","approved/investigational","For the treatment of sinus and lung infections such as sinusitis, pneumonia, and secondary infections in chronic bronchitis. Also for the treatment of bacterial conjunctivitis (pinkeye)."
"Oxyphenonium","approved","For the treatment of visceral spasms"
"Nelfinavir","approved","Used in combination with other antiviral drugs in the treatment of HIV in both adults and children."
"Isoetarine","approved","For the treatment of asthma, wheezing, and chronic asthmatic bronchitis."
"Glimepiride","approved","For concomitant use with insulin for the treatment of noninsulin-dependent (type 2) diabetes mellitus."
"Diflorasone","approved","For relief of the inflammatory and pruritic manifestations of corticosteroid responsive dermatoses."
"Indinavir","approved","Indinavir is an antiretroviral drug for the treatment of HIV infection."
"Guanadrel","approved","Used to treat and control hypertension."
"Lovastatin","approved/investigational","For management as an adjunct to diet to reduce elevated total-C, LDL-C, apo B, and TG levels in patients with primary hypercholesterolemia and mixed dyslipidemia. For primary prevention of coronary heart disease and to slow progression of coronary atherosclerosis in patients with coronary heart disease. "
