Drug,Classes,Groups,Gene,Protein,Gene Type,Drug Action,DrugBank.ID
L-Glutamine,Dietary SupplementsMicronutrientsSupplementsNon-Essential Amino Acids,approvedinvestigationalnutraceutical,CAD,CAD protein,enzyme,substrate,DB00130
L-Glutamine,Dietary SupplementsMicronutrientsSupplementsNon-Essential Amino Acids,approvedinvestigationalnutraceutical,QARS,Glutamine--tRNA ligase,enzyme,substrate,DB00130
L-Glutamine,Dietary SupplementsMicronutrientsSupplementsNon-Essential Amino Acids,approvedinvestigationalnutraceutical,NADSYN1,Glutamine-dependent NAD(+) synthetase,enzyme,substrate,DB00130
Adenosine monophosphate,Dietary SupplementsMicronutrientsSupplements,approvednutraceutical,AMPD1,AMP deaminase 1,enzyme,substrate,DB00131
Adenosine monophosphate,Dietary SupplementsMicronutrientsSupplements,approvednutraceutical,APRT,Adenine phosphoribosyltransferase,enzyme,substrate,DB00131
L-Methionine,"Dietary SupplementsMicronutrientsAmino Acids, EssentialSupplements",approvednutraceutical,GLUL,Glutamine synthetase,enzyme,inhibitor,DB00134
L-Methionine,"Dietary SupplementsMicronutrientsAmino Acids, EssentialSupplements",approvednutraceutical,MTHFR,Methylenetetrahydrofolate reductase,enzyme,inhibitor,DB00134
L-Methionine,"Dietary SupplementsMicronutrientsAmino Acids, EssentialSupplements",approvednutraceutical,MAT2A,S-adenosylmethionine synthase isoform type-2,enzyme,substrate,DB00134
L-Methionine,"Dietary SupplementsMicronutrientsAmino Acids, EssentialSupplements",approvednutraceutical,MSRB2,"Methionine-R-sulfoxide reductase B2, mitochondrial",enzyme,substrate,DB00134
L-Methionine,"Dietary SupplementsMicronutrientsAmino Acids, EssentialSupplements",approvednutraceutical,MAT1A,S-adenosylmethionine synthase isoform type-1,enzyme,substrate,DB00134
L-Methionine,"Dietary SupplementsMicronutrientsAmino Acids, EssentialSupplements",approvednutraceutical,SEPX1,Methionine-R-sulfoxide reductase B1,enzyme,substrate,DB00134
L-Methionine,"Dietary SupplementsMicronutrientsAmino Acids, EssentialSupplements",approvednutraceutical,MSRA,Mitochondrial peptide methionine sulfoxide reductase,enzyme,substrate,DB00134
L-Methionine,"Dietary SupplementsMicronutrientsAmino Acids, EssentialSupplements",approvednutraceutical,MARS,"Methionine--tRNA ligase, cytoplasmic",enzyme,substrate,DB00134
L-Methionine,"Dietary SupplementsMicronutrientsAmino Acids, EssentialSupplements",approvednutraceutical,MARS2,"Methionine--tRNA ligase, mitochondrial",enzyme,substrate,DB00134
L-Methionine,"Dietary SupplementsMicronutrientsAmino Acids, EssentialSupplements",approvednutraceutical,MAT2B,Methionine adenosyltransferase 2 subunit beta,enzyme,substrate,DB00134
Calcitriol,Bone Density Conservation AgentsVitaminsCalcium Channel AgonistsAntithyroid AgentsVitamin DAntihypocalcemic Agents,approvednutraceutical,CYP24A1,"1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial",enzyme,substrateinducer,DB00136
Calcitriol,Bone Density Conservation AgentsVitaminsCalcium Channel AgonistsAntithyroid AgentsVitamin DAntihypocalcemic Agents,approvednutraceutical,CYP3A4,Cytochrome P450 3A4,enzyme,substrateinducer,DB00136
Riboflavin,Vitamin B ComplexPhotosensitizing Agents,approvednutraceutical,MAOA,Amine oxidase [flavin-containing] A,enzyme,cofactor,DB00140
Riboflavin,Vitamin B ComplexPhotosensitizing Agents,approvednutraceutical,MTHFR,Methylenetetrahydrofolate reductase,enzyme,cofactor,DB00140
Glutathione,Dietary SupplementsMicronutrientsSupplements,approvednutraceutical,GSTA2,Glutathione S-transferase A2,enzyme,substrate,DB00143
Glutathione,Dietary SupplementsMicronutrientsSupplements,approvednutraceutical,GSTA1,Glutathione S-transferase A1,enzyme,substrate,DB00143
Calcidiol,Bone Density Conservation AgentsVitaminsAntithyroid AgentsVitamin DAntihypocalcemic Agents,approvednutraceutical,CYP27B1,"25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial",enzyme,substrate,DB00146
Calcidiol,Bone Density Conservation AgentsVitaminsAntithyroid AgentsVitamin DAntihypocalcemic Agents,approvednutraceutical,CYP24A1,"1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial",enzyme,substrate,DB00146
L-Tryptophan,"Antidepressive Agents, Second-GenerationDietary SupplementsMicronutrientsAmino Acids, EssentialSupplements",approvednutraceutical,TDO2,"Tryptophan 2,3-dioxygenase",enzyme,substrate,DB00150
L-Tryptophan,"Antidepressive Agents, Second-GenerationDietary SupplementsMicronutrientsAmino Acids, EssentialSupplements",approvednutraceutical,DDC,Aromatic-L-amino-acid decarboxylase,enzyme,substrate,DB00150
L-Tryptophan,"Antidepressive Agents, Second-GenerationDietary SupplementsMicronutrientsAmino Acids, EssentialSupplements",approvednutraceutical,trpS,Tryptophan--tRNA ligase,enzyme,substrateinhibitor,DB00150
L-Tryptophan,"Antidepressive Agents, Second-GenerationDietary SupplementsMicronutrientsAmino Acids, EssentialSupplements",approvednutraceutical,WARS2,"Tryptophan--tRNA ligase, mitochondrial",enzyme,substrateinhibitor,DB00150
L-Tryptophan,"Antidepressive Agents, Second-GenerationDietary SupplementsMicronutrientsAmino Acids, EssentialSupplements",approvednutraceutical,TPH1,Tryptophan 5-hydroxylase 1,enzyme,substrate,DB00150
L-Tryptophan,"Antidepressive Agents, Second-GenerationDietary SupplementsMicronutrientsAmino Acids, EssentialSupplements",approvednutraceutical,TPH2,Tryptophan 5-hydroxylase 2,enzyme,substrate,DB00150
L-Tryptophan,"Antidepressive Agents, Second-GenerationDietary SupplementsMicronutrientsAmino Acids, EssentialSupplements",approvednutraceutical,WARS,"Tryptophan--tRNA ligase, cytoplasmic",enzyme,substrateinhibitor,DB00150
L-Tryptophan,"Antidepressive Agents, Second-GenerationDietary SupplementsMicronutrientsAmino Acids, EssentialSupplements",approvednutraceutical,IDO1,"Indoleamine 2,3-dioxygenase 1",enzyme,substrate,DB00150
Ergocalciferol,Bone Density Conservation AgentsVitaminsAntithyroid AgentsVitamin DAntihypocalcemic Agents,approvednutraceutical,CYP24A1,"1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial",enzyme,substrate,DB00153
Ergocalciferol,Bone Density Conservation AgentsVitaminsAntithyroid AgentsVitamin DAntihypocalcemic Agents,approvednutraceutical,CYP27B1,"25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial",enzyme,substrate,DB00153
Ergocalciferol,Bone Density Conservation AgentsVitaminsAntithyroid AgentsVitamin DAntihypocalcemic Agents,approvednutraceutical,CYP27A1,"Sterol 26-hydroxylase, mitochondrial",enzyme,substrate,DB00153
Ergocalciferol,Bone Density Conservation AgentsVitaminsAntithyroid AgentsVitamin DAntihypocalcemic Agents,approvednutraceutical,CYP3A4,Cytochrome P450 3A4,enzyme,substrate,DB00153
Ergocalciferol,Bone Density Conservation AgentsVitaminsAntithyroid AgentsVitamin DAntihypocalcemic Agents,approvednutraceutical,CYP2R1,Vitamin D 25-hydroxylase,enzyme,substrate,DB00153
NADH,Dietary SupplementsMicronutrientsSupplements,nutraceutical,XDH,Xanthine dehydrogenase/oxidase,enzyme,substrate,DB00157
NADH,Dietary SupplementsMicronutrientsSupplements,nutraceutical,AOX1,Aldehyde oxidase,enzyme,substrate,DB00157
NADH,Dietary SupplementsMicronutrientsSupplements,nutraceutical,ADH6,Alcohol dehydrogenase 6,enzyme,substrateactivator,DB00157
NADH,Dietary SupplementsMicronutrientsSupplements,nutraceutical,AKR1A1,Alcohol dehydrogenase [NADP(+)],enzyme,substrate,DB00157
NADH,Dietary SupplementsMicronutrientsSupplements,nutraceutical,ADH1A,Alcohol dehydrogenase 1A,enzyme,substrate,DB00157
NADH,Dietary SupplementsMicronutrientsSupplements,nutraceutical,ADH1B,Alcohol dehydrogenase 1B,enzyme,substrate,DB00157
NADH,Dietary SupplementsMicronutrientsSupplements,nutraceutical,ADH4,Alcohol dehydrogenase 4,enzyme,substrate,DB00157
NADH,Dietary SupplementsMicronutrientsSupplements,nutraceutical,ADH5,Alcohol dehydrogenase class-3,enzyme,substrate,DB00157
NADH,Dietary SupplementsMicronutrientsSupplements,nutraceutical,ADH7,Alcohol dehydrogenase class 4 mu/sigma chain,enzyme,substrate,DB00157
Folic Acid,HematinicsVitamin B ComplexDietary SupplementsMicronutrientsSupplements,approvednutraceutical,CYP2E1,Cytochrome P450 2E1,enzyme,substrate,DB00158
Folic Acid,HematinicsVitamin B ComplexDietary SupplementsMicronutrientsSupplements,approvednutraceutical,GGH,Gamma-glutamyl hydrolase,enzyme,substrate,DB00158
Folic Acid,HematinicsVitamin B ComplexDietary SupplementsMicronutrientsSupplements,approvednutraceutical,MTHFR,Methylenetetrahydrofolate reductase,enzyme,substrate,DB00158
L-Valine,"Dietary SupplementsMicronutrientsAmino Acids, Essential",approvednutraceutical,VARS,Valine--tRNA ligase,enzyme,substrate,DB00161
L-Valine,"Dietary SupplementsMicronutrientsAmino Acids, Essential",approvednutraceutical,PCCB,"Propionyl-CoA carboxylase beta chain, mitochondrial",enzyme,substrate,DB00161
L-Valine,"Dietary SupplementsMicronutrientsAmino Acids, Essential",approvednutraceutical,BCAT1,"Branched-chain-amino-acid aminotransferase, cytosolic",enzyme,substrate,DB00161
Vitamin A,VitaminsVitamin AAnti-acne preparations,approvednutraceutical,CYP1A1,Cytochrome P450 1A1,enzyme,inhibitorinducer,DB00162
Vitamin A,VitaminsVitamin AAnti-acne preparations,approvednutraceutical,CYP26A1,Cytochrome P450 26A1,enzyme,inducer,DB00162
Vitamin E,AntioxidantsVitaminsDietary SupplementsMicronutrientsSupplements,approvednutraceutical,GSTA2,Glutathione S-transferase A2,enzyme,inducer,DB00163
Vitamin E,AntioxidantsVitaminsDietary SupplementsMicronutrientsSupplements,approvednutraceutical,GSTP1,Glutathione S-transferase P,enzyme,inhibitor,DB00163
Vitamin E,AntioxidantsVitaminsDietary SupplementsMicronutrientsSupplements,approvednutraceutical,GSTO1,Glutathione S-transferase omega-1,enzyme,inhibitor,DB00163
Vitamin E,AntioxidantsVitaminsDietary SupplementsMicronutrientsSupplements,approvednutraceutical,GSTM3,Glutathione S-transferase Mu 3,enzyme,inducer,DB00163
Vitamin E,AntioxidantsVitaminsDietary SupplementsMicronutrientsSupplements,approvednutraceutical,GCLC,Glutamate--cysteine ligase catalytic subunit,enzyme,inducer,DB00163
Vitamin E,AntioxidantsVitaminsDietary SupplementsMicronutrientsSupplements,approvednutraceutical,NQO1,NAD(P)H dehydrogenase [quinone] 1,enzyme,inducer,DB00163
Vitamin E,AntioxidantsVitaminsDietary SupplementsMicronutrientsSupplements,approvednutraceutical,HMOX1,Heme oxygenase 1,enzyme,inducer,DB00163
Vitamin E,AntioxidantsVitaminsDietary SupplementsMicronutrientsSupplements,approvednutraceutical,SOD1,Superoxide dismutase [Cu-Zn],enzyme,inducer,DB00163
Cholecalciferol,Bone Density Conservation AgentsVitaminsAntithyroid AgentsVitamin DAntihypocalcemic Agents,approvednutraceutical,CYP2R1,Vitamin D 25-hydroxylase,enzyme,substrate,DB00169
Cholecalciferol,Bone Density Conservation AgentsVitaminsAntithyroid AgentsVitamin DAntihypocalcemic Agents,approvednutraceutical,CYP27A1,"Sterol 26-hydroxylase, mitochondrial",enzyme,substrate,DB00169
Cholecalciferol,Bone Density Conservation AgentsVitaminsAntithyroid AgentsVitamin DAntihypocalcemic Agents,approvednutraceutical,CYP2J2,Cytochrome P450 2J2,enzyme,substrate,DB00169
Cholecalciferol,Bone Density Conservation AgentsVitaminsAntithyroid AgentsVitamin DAntihypocalcemic Agents,approvednutraceutical,CYP3A4,Cytochrome P450 3A4,enzyme,substrate,DB00169
Cholecalciferol,Bone Density Conservation AgentsVitaminsAntithyroid AgentsVitamin DAntihypocalcemic Agents,approvednutraceutical,CYP11A1,"Cholesterol side-chain cleavage enzyme, mitochondrial",enzyme,substrate,DB00169
Cholecalciferol,Bone Density Conservation AgentsVitaminsAntithyroid AgentsVitamin DAntihypocalcemic Agents,approvednutraceutical,CYP1A1,Cytochrome P450 1A1,enzyme,inhibitor,DB00169
Cholecalciferol,Bone Density Conservation AgentsVitaminsAntithyroid AgentsVitamin DAntihypocalcemic Agents,approvednutraceutical,CYP2B6,Cytochrome P450 2B6,enzyme,inhibitor,DB00169
Cholecalciferol,Bone Density Conservation AgentsVitaminsAntithyroid AgentsVitamin DAntihypocalcemic Agents,approvednutraceutical,CYP2C19,Cytochrome P450 2C19,enzyme,inhibitor,DB00169
Cholecalciferol,Bone Density Conservation AgentsVitaminsAntithyroid AgentsVitamin DAntihypocalcemic Agents,approvednutraceutical,CYP2C8,Cytochrome P450 2C8,enzyme,inhibitor,DB00169
Cholecalciferol,Bone Density Conservation AgentsVitaminsAntithyroid AgentsVitamin DAntihypocalcemic Agents,approvednutraceutical,CYP2C9,Cytochrome P450 2C9,enzyme,inhibitor,DB00169
Cholecalciferol,Bone Density Conservation AgentsVitaminsAntithyroid AgentsVitamin DAntihypocalcemic Agents,approvednutraceutical,CYP2D6,Cytochrome P450 2D6,enzyme,inhibitor,DB00169
Menadione,VitaminsAntifibrinolytic AgentsDietary SupplementsMicronutrientsSupplements,approvednutraceutical,XDH,Xanthine dehydrogenase/oxidase,enzyme,substrate,DB00170
Menadione,VitaminsAntifibrinolytic AgentsDietary SupplementsMicronutrientsSupplements,approvednutraceutical,AOX1,Aldehyde oxidase,enzyme,inhibitor,DB00170
Menadione,VitaminsAntifibrinolytic AgentsDietary SupplementsMicronutrientsSupplements,approvednutraceutical,CYP2E1,Cytochrome P450 2E1,enzyme,substrate,DB00170
Menadione,VitaminsAntifibrinolytic AgentsDietary SupplementsMicronutrientsSupplements,approvednutraceutical,MTHFR,Methylenetetrahydrofolate reductase,enzyme,substrate,DB00170
Menadione,VitaminsAntifibrinolytic AgentsDietary SupplementsMicronutrientsSupplements,approvednutraceutical,CYP1A1,Cytochrome P450 1A1,enzyme,substrateinducer,DB00170
Menadione,VitaminsAntifibrinolytic AgentsDietary SupplementsMicronutrientsSupplements,approvednutraceutical,CYP1A2,Cytochrome P450 1A2,enzyme,substrateinducer,DB00170
Menadione,VitaminsAntifibrinolytic AgentsDietary SupplementsMicronutrientsSupplements,approvednutraceutical,CYP2A6,Cytochrome P450 2A6,enzyme,inhibitor,DB00170
Pravastatin,Hydroxymethylglutaryl-CoA Reductase Inhibitors,approved,CYP2C8,Cytochrome P450 2C8,enzyme,inhibitor,DB00175
Pravastatin,Hydroxymethylglutaryl-CoA Reductase Inhibitors,approved,CYP2C9,Cytochrome P450 2C9,enzyme,substrateinhibitor,DB00175
Pravastatin,Hydroxymethylglutaryl-CoA Reductase Inhibitors,approved,CYP2D6,Cytochrome P450 2D6,enzyme,inhibitor,DB00175
Pravastatin,Hydroxymethylglutaryl-CoA Reductase Inhibitors,approved,CYP3A4,Cytochrome P450 3A4,enzyme,substrateinhibitor,DB00175
Pravastatin,Hydroxymethylglutaryl-CoA Reductase Inhibitors,approved,CYP3A5,Cytochrome P450 3A5,enzyme,substrate,DB00175
Fluvoxamine,"Antidepressive Agents, Second-GenerationAnti-Anxiety AgentsSerotonin Uptake Inhibitors",approvedinvestigational,CYP2D6,Cytochrome P450 2D6,enzyme,substrateinhibitor,DB00176
Fluvoxamine,"Antidepressive Agents, Second-GenerationAnti-Anxiety AgentsSerotonin Uptake Inhibitors",approvedinvestigational,CYP1A2,Cytochrome P450 1A2,enzyme,substrateinhibitor,DB00176
Fluvoxamine,"Antidepressive Agents, Second-GenerationAnti-Anxiety AgentsSerotonin Uptake Inhibitors",approvedinvestigational,CYP2E1,Cytochrome P450 2E1,enzyme,substrate,DB00176
Fluvoxamine,"Antidepressive Agents, Second-GenerationAnti-Anxiety AgentsSerotonin Uptake Inhibitors",approvedinvestigational,CYP1A1,Cytochrome P450 1A1,enzyme,inhibitor,DB00176
Fluvoxamine,"Antidepressive Agents, Second-GenerationAnti-Anxiety AgentsSerotonin Uptake Inhibitors",approvedinvestigational,CYP3A4,Cytochrome P450 3A4,enzyme,inhibitor,DB00176
Fluvoxamine,"Antidepressive Agents, Second-GenerationAnti-Anxiety AgentsSerotonin Uptake Inhibitors",approvedinvestigational,CYP3A5,Cytochrome P450 3A5,enzyme,inhibitor,DB00176
Fluvoxamine,"Antidepressive Agents, Second-GenerationAnti-Anxiety AgentsSerotonin Uptake Inhibitors",approvedinvestigational,CYP3A7,Cytochrome P450 3A7,enzyme,inhibitor,DB00176
Fluvoxamine,"Antidepressive Agents, Second-GenerationAnti-Anxiety AgentsSerotonin Uptake Inhibitors",approvedinvestigational,CYP2C9,Cytochrome P450 2C9,enzyme,inhibitor,DB00176
Fluvoxamine,"Antidepressive Agents, Second-GenerationAnti-Anxiety AgentsSerotonin Uptake Inhibitors",approvedinvestigational,CYP2C19,Cytochrome P450 2C19,enzyme,inhibitor,DB00176
Fluvoxamine,"Antidepressive Agents, Second-GenerationAnti-Anxiety AgentsSerotonin Uptake Inhibitors",approvedinvestigational,CYP2B6,Cytochrome P450 2B6,enzyme,inhibitor,DB00176
Amphetamine,Adrenergic AgentsAdrenergic Uptake InhibitorsCentral Nervous System StimulantsDopamine AgentsDopamine Uptake InhibitorsSympathomimeticsAmphetamines,approvedillicit,CYP2D6,Cytochrome P450 2D6,enzyme,substrateinhibitor,DB00182
Amphetamine,Adrenergic AgentsAdrenergic Uptake InhibitorsCentral Nervous System StimulantsDopamine AgentsDopamine Uptake InhibitorsSympathomimeticsAmphetamines,approvedillicit,CYP2A6,Cytochrome P450 2A6,enzyme,inhibitor,DB00182
Nicotine,Ganglionic StimulantsNicotinic AgonistsAppetite DepressantsAutonomic Agents,approved,CYP2A6,Cytochrome P450 2A6,enzyme,substrateinhibitor,DB00184
Nicotine,Ganglionic StimulantsNicotinic AgonistsAppetite DepressantsAutonomic Agents,approved,CYP2E1,Cytochrome P450 2E1,enzyme,substrateinhibitor,DB00184
Nicotine,Ganglionic StimulantsNicotinic AgonistsAppetite DepressantsAutonomic Agents,approved,CYP2A13,Cytochrome P450 2A13,enzyme,substrate,DB00184
Nicotine,Ganglionic StimulantsNicotinic AgonistsAppetite DepressantsAutonomic Agents,approved,CYP2B6,Cytochrome P450 2B6,enzyme,substrate,DB00184
Nicotine,Ganglionic StimulantsNicotinic AgonistsAppetite DepressantsAutonomic Agents,approved,CYP1A1,Cytochrome P450 1A1,enzyme,substrateinducer,DB00184
Nicotine,Ganglionic StimulantsNicotinic AgonistsAppetite DepressantsAutonomic Agents,approved,CYP1A2,Cytochrome P450 1A2,enzyme,substrateinducer,DB00184
Nicotine,Ganglionic StimulantsNicotinic AgonistsAppetite DepressantsAutonomic Agents,approved,CYP2C19,Cytochrome P450 2C19,enzyme,substrate,DB00184
Nicotine,Ganglionic StimulantsNicotinic AgonistsAppetite DepressantsAutonomic Agents,approved,CYP2C8,Cytochrome P450 2C8,enzyme,substrate,DB00184
